거래번호,일시,아이디,매매방향,종목코드,종목명,수량,가격,평가액,수수료,세금
trade_no,date,userid,BS,itemcode,itemname,quantity,price,value,fee,tax
A01-20200110-001,3/22/2021 9:00:00 AM,A001,B,C000001,현금,700000,1,700000,0,0
A01-20200110-002,3/22/2021 4:00:00 PM,A001,S,C000001,현금,688945,1,688945,0,0
A01-20200110-003,3/22/2021 4:00:00 PM,A001,B,D000001,예금,350000,1,350000,0,0
A01-20200110-004,3/22/2021 4:00:00 PM,A001,B,A069500,KODEX 200,1,42095,42095,0,0
A01-20200110-005,3/22/2021 4:00:00 PM,A001,B,A360200,KINDEX 미국S&P500,4,10865,43460,0,0
A01-20200110-006,3/22/2021 4:00:00 PM,A001,B,A196230,KBSTAR 단기통안채,1,104325,104325,0,0
A01-20200110-007,3/22/2021 4:00:00 PM,A001,B,A302190,TIGER 중장기국채,1,52365,52365,0,0
A01-20200110-008,3/22/2021 4:00:00 PM,A001,B,A329750,TIGER 미국달러단기채권액티브,4,9645,38580,0,0
A01-20200110-009,3/22/2021 4:00:00 PM,A001,B,A114260,KODEX 국고채3년,1,58120,58120,0,0
A01-20200212-001,3/22/2021 4:00:00 PM,A001,S,A360200,KINDEX 미국S&P500,2,10865,21730,0,0
A01-20200212-002,3/22/2021 4:00:00 PM,A001,B,A329750,TIGER 미국달러단기채권액티브,4,9645,38580,0,0
A01-20200212-003,3/22/2021 4:00:00 PM,A001,B,A367380,KINDEX 미국나스닥100,3,10920,32760,0,0
A01-20200212-004,3/22/2021 4:00:00 PM,A001,S,A114260,KODEX 국고채3년,1,58120,58120,0,0
A01-20200110-001,3/22/2021 4:00:00 PM,A001,B,C000001,현금,700000,1,700000,0,0
